Full Name,Win Rate,Total Fight,Win,Lose,Draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub. Avg
Victor Dias,0.785714286,14,11,3,0,"5' 6""",125 lbs.,"69""",Orthodox,"Dec 26, 1990",2.87,0.44,5.80,0.55,5.00,0.41,0.00,0
Jack Della Maddalena,0.894736842,19,17,2,0,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",6.74,0.53,4.27,0.66,0.21,0.16,0.70,0.2
TJ Dillashaw,0.782608696,23,18,5,0,"5' 6""",135 lbs.,"67""",Orthodox,"Feb 07, 1986",5.09,0.41,3.47,0.62,1.56,0.30,0.77,0.8
Rodolfo Marques Diniz,0.696969697,33,23,9,1,"5' 6""",135 lbs.,--,,"Jan 23, 1984",1.08,0.32,2.36,0.33,0.00,0.00,0.50,1.8
Issac DeJesus,0.631578947,19,12,7,1 (1 NC),--,145 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Eldo Xavier Dias,0,1,0,1,0,"5' 11""",180 lbs.,--,,"Jul 16, 1964",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Mackenzie Dern,0.722222222,18,13,5,0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.31,0.40,4.09,0.51,0.79,0.15,0.28,1.3
Justin DeMoney,0.652173913,23,15,7,1,--,170 lbs.,--,,"Jul 01, 1985",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Sean Daugherty,0,2,0,2,0,"6' 0""",175 lbs.,--,,"Dec 04, 1975",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Chris de la Rocha,0.625,8,5,3,0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",4.08,0.45,6.37,0.43,2.02,0.30,0.33,1
Felipe dos Santos,0.888888889,9,8,1,0 (1 NC),"5' 7""",125 lbs.,"70""",Orthodox,"Sep 11, 2000",4.53,0.34,5.07,0.40,0.00,0.00,0.16,0.5
Alexis Davis,0.65625,32,21,11,0,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984",4.63,0.49,4.45,0.54,0.95,0.44,0.34,0.7
Marcos da Matta,0.785714286,14,11,3,0,"5' 4""",145 lbs.,--,,"Mar 18, 1973",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Todd Duffee,0.75,12,9,3,0 (1 NC),"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",5.93,0.37,2.87,0.56,0.72,0.25,0.90,0
Michael Diaz,0.333333333,3,1,2,0,--,260 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
AJ Dobson,0.7,10,7,3,0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992",4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3
Kyle Driscoll,0.8,15,12,3,0,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",2.73,0.32,2.60,0.58,2.00,0.18,0.00,0
Alex Dunworth,0.5,4,2,2,0 (1 NC),"5' 8""",155 lbs.,--,,--,1.94,0.31,8.71,0.35,0.00,0.00,0.50,0
Brian Davidson,0.764705882,17,13,4,0,"5' 6""",145 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Rilley Dutro,0.733333333,15,11,4,0,"5' 8""",125 lbs.,--,Orthodox,"Sep 03, 1987",4.74,0.54,5.95,0.33,0.00,0.00,0.83,0
Yorgan De Castro,0.666666667,9,6,3,0,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",2.46,0.43,3.85,0.53,0.00,0.00,0.77,0
Joe Doerksen,0.76119403,67,51,16,0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,0.42,2.79,0.50,2.02,0.33,0.33,2.3
Ryan Diaz,0.481481481,27,13,14,0,--,145 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Geraldo de Freitas,0.666666667,18,12,6,0,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",3.67,0.52,2.62,0.50,3.00,0.45,0.59,0
Kyle Daukaus,0.733333333,15,11,4,0 (1 NC),"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.22,0.52,2.94,0.42,2.12,0.25,0.82,1.9
Oleksandr Doskalchuk,0.833333333,12,10,2,0,"5' 6""",125 lbs.,--,Southpaw,"Mar 13, 1990",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Danny Downes,0.727272727,11,8,3,0,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",1.66,0.34,3.53,0.37,0.00,0.00,0.37,0.5
Thomas Denny,0.551020408,49,27,21,1,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971",2.36,0.45,4.69,0.40,1.48,0.17,0.42,1.5
Phil Davis,0.80952381,21,17,4,0 (1 NC),"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6
Germaine de Randamie,0.666666667,15,10,5,0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",2.57,0.46,2.00,0.65,0.00,0.00,0.65,0.4
Tomasz Drwal,0.777777778,27,21,5,1,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,0.38,2.26,0.57,3.55,0.60,0.82,0.4
Mac Danzig,0.617647059,34,21,12,1,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",3.39,0.48,3.44,0.57,1.20,0.37,0.46,0.6
Nick Diaz,0.722222222,36,26,10,0 (2 NC),"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,0.42,3.84,0.59,1.28,0.32,0.60,1
Alexandre Dantas,0,3,0,3,0,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",0.21,0.25,1.87,0.60,0.00,0.00,0.00,3.1
Anderson Dos Santos,0.7,30,21,9,0,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.7,0.25,5.37,0.49,0.98,0.14,0.66,0.7
Edson Drago,0.611111111,18,11,7,0,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977",1.16,0.40,2.39,0.36,0.00,0.00,0.55,0
Shane del Rosario,0.846153846,13,11,2,0,"6' 4""",250 lbs.,--,Southpaw,"Sep 23, 1983",3.93,0.60,2.97,0.54,1.20,0.40,0.16,2.4
Montana De La Rosa,0.545454545,22,12,9,1,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.7,0.36,3.21,0.44,1.71,0.31,0.64,0.8
Leonardo Damiani,0.714285714,14,10,3,1,"5' 10""",170 lbs.,"69""",Orthodox,"Aug 30, 1990",1.67,0.23,4.17,0.37,0.00,0.00,0.50,0
Humberto DeLeon,0.5,14,7,7,0,--,135 lbs.,--,,"Nov 12, 1989",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Aisling Daly,0.727272727,22,16,6,0,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,0.52,1.40,0.55,2.15,0.41,0.33,0.9
Acacio Dos Santos,0.736842105,19,14,5,0,"6' 4""",205 lbs.,"79""",Orthodox,"Sep 29, 1991",1.27,0.41,1.40,0.43,0.00,0.00,0.31,0
Tyler Diamond,0.9,10,9,1,0,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",3.4,0.47,2.53,0.44,3.00,0.75,0.70,0
Alexis Dufresne,0.666666667,9,6,3,0,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990",1.33,0.27,3.33,0.60,1.50,0.50,0.50,0
Justin Davis,0.448275862,29,13,16,0,"5' 11""",205 lbs.,--,,"Apr 01, 1983",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Helio Dipp,0.666666667,9,6,3,0,"6' 5""",185 lbs.,--,Orthodox,--,0.6,0.25,1.80,0.62,0.00,0.00,0.50,0
Albert Duraev,0.761904762,21,16,5,0,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",2.99,0.40,3.01,0.59,1.97,0.29,0.66,0.6
Viktoriia Dudakova,1,8,8,0,0,"5' 5""",125 lbs.,"67""",Orthodox,"Jan 26, 1999",3.14,0.52,2.45,0.50,2.45,0.41,0.50,0
Shana Dobson,0.444444444,9,4,5,0,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",3.34,0.37,5.20,0.50,0.84,0.50,0.14,0
Joe Duffy,0.761904762,21,16,5,0,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7
Cedric Doumbe,1,2,2,0,0,"5' 10""",170 lbs.,--,,"Aug 13, 1992",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Mark Dickman,0.785714286,14,11,3,0,"5' 9""",145 lbs.,--,,"Jul 19, 1984",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Derek Downey,0.733333333,15,11,4,0,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980",0.32,1.00,3.36,0.12,2.40,0.16,0.00,0
Peter Danesoe,0.666666667,9,6,3,0,"5' 9""",125 lbs.,"68""",Orthodox,"Sep 01, 2000",4.98,0.54,7.02,0.37,0.00,0.00,0.62,0
LC Davis,0.741935484,31,23,8,0,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980",2.04,0.30,2.10,0.59,2.27,0.46,0.66,0.2
Saul Elizondo,0.428571429,14,6,8,0,"5' 7""",135 lbs.,--,,"Jul 17, 1985",2.07,0.30,4.93,0.48,2.00,1.00,0.66,1
Bobby Escalante,0.454545455,11,5,6,0,--,130 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Aleksander Emelianenko,0.766666667,30,23,7,0,"6' 6""",255 lbs.,--,Orthodox,"Aug 02, 1981",2.75,0.41,1.70,0.65,2.32,0.72,0.66,0.9
Kevin Engel,0.833333333,6,5,1,0,"6' 2""",170 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Joselyne Edwards,0.722222222,18,13,5,0,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.71,0.52,3.36,0.50,1.00,0.33,0.64,0.3
Darren Elkins,0.717948718,39,28,11,0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.44,0.38,3.27,0.52,2.85,0.35,0.56,1.1
Lisa Ellis,0.576923077,26,15,11,0,"5' 4""",115 lbs.,--,,"Nov 15, 1982",1.68,0.48,2.32,0.57,4.19,0.63,0.50,0.6
Frankie Edgar,0.657142857,35,23,11,1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.77,0.40,2.82,0.65,2.29,0.31,0.65,0.3
Tim Elliott,0.6,35,21,13,1,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.39,0.44,2.66,0.56,3.73,0.47,0.59,1
Juan Espino,0.846153846,13,11,2,0,"6' 3""",255 lbs.,"80""",Orthodox,"Oct 09, 1980",2.38,0.70,1.95,0.40,8.93,0.78,0.50,2.4
Steve Erceg,0.923076923,13,12,1,0,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995",4.57,0.48,3.64,0.55,1.69,0.30,0.77,0.8
Oban Elliott,0.833333333,12,10,2,0,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 19, 1997",4.27,0.53,2.17,0.61,3.50,0.50,0.00,0
Jake Ellenberger,0.673913043,46,31,15,0,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,0.39,2.83,0.60,2.04,0.47,0.86,0.4
Marius Enache,0.5,6,3,3,0,"5' 11""",155 lbs.,--,,"Oct 16, 1975",1.71,0.34,0.66,0.84,3.94,1.00,0.00,3.9
Neal Ewing,1,6,6,0,0,--,185 lbs.,--,,"Sep 30, 1985",2.27,0.60,1.93,0.48,5.00,0.62,0.00,0
Rafael Estevam,1,12,12,0,0,"5' 8""",125 lbs.,"69""",Orthodox,"Aug 10, 1996",2.94,0.64,3.35,0.34,3.35,0.19,0.00,0.7
Tonya Evinger,0.703703704,27,19,8,0 (1 NC),"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981",1.16,0.42,4.02,0.38,0.93,0.30,0.33,0.9
Jordan Espinosa,0.625,24,15,9,0 (1 NC),"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",4.22,0.52,2.94,0.57,0.75,0.28,0.70,0.2
Justin Eilers,0.703703704,27,19,7,1,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",2.86,0.43,5.66,0.49,0.82,0.25,0.50,0
Rob Emerson,0.6,30,18,12,0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,0.30,2.83,0.64,2.02,0.52,0.65,0.4
Nick Ertl,0.571428571,14,8,6,0,"5' 9""",155 lbs.,--,,--,1.34,0.69,1.59,0.41,1.88,0.50,0.00,0
Oliver Enkamp,0.777777778,9,7,2,0,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",2.38,0.36,3.55,0.37,0.87,0.16,0.00,0
Andre Ewell,0.653846154,26,17,9,0,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988",4.28,0.40,4.87,0.51,0.36,0.75,0.72,0.1
Ross Ebanez,0.666666667,30,20,10,0 (3 NC),"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975",0.74,0.50,0.74,0.62,3.70,1.00,0.00,0
Josh Epps,0.461538462,13,6,7,0,--,130 lbs.,--,,"Aug 23, 1986",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Cody East,0.8,15,12,3,0,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",4.15,0.43,7.32,0.40,3.97,1.00,0.16,0
Terry Etim,0.761904762,21,16,5,0,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,0.35,2.53,0.67,0.43,0.30,0.39,1.4
Shaun Etchell,0.7,10,7,3,0,"5' 7""",125 lbs.,"68""",Switch,"Aug 05, 1993",0,0.00,0.00,0.00,4.37,1.00,1.00,0
Stephanie Egger,0.615384615,13,8,5,0,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988",2.2,0.46,2.48,0.52,2.48,0.42,0.50,0.6
Movsar Evloev,1,18,18,0,0,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",4.43,0.48,2.89,0.61,4.75,0.46,0.71,0.2
Kolton Englund,0.692307692,13,9,4,0,"5' 10""",155 lbs.,"69""",Orthodox,"Jul 09, 1993",2.31,0.25,11.54,0.40,0.00,0.00,0.00,0
Cameron Else,0.625,16,10,6,0,"5' 9""",135 lbs.,"71""",Switch,"Apr 27, 1987",1.99,0.40,8.09,0.51,0.00,0.00,0.00,0
Aaron Ely,0.714285714,7,5,2,0,"5' 8""",135 lbs.,--,,"Mar 18, 1989",0.82,0.15,0.66,0.69,2.47,1.00,0.50,4.9
Rashad Evans,0.678571429,28,19,8,1,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,0.37,2.42,0.63,2.98,0.44,0.73,0
Vincent Eazelle,0.818181818,11,9,2,0,"5' 11""",155 lbs.,--,,"Dec 07, 1980",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Alex Enlund,0.875,16,14,2,0 (1 NC),"5' 10""",145 lbs.,--,Orthodox,"May 27, 1987",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Jodie Esquibel,0.5,12,6,6,0,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.1,0.31,7.37,0.52,0.75,0.21,0.83,0
Tom Erikson,0.642857143,14,9,4,1,"6' 3""",280 lbs.,--,Orthodox,--,0.94,0.47,1.87,0.25,4.68,0.60,1.00,6.2
Andy Enz,0.714285714,14,10,4,0,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,0.23,5.32,0.57,0.00,0.00,0.58,0
Eric Esch,0.576923077,26,15,10,1,"5' 11""",350 lbs.,--,Orthodox,"Aug 03, 1968",3.07,0.71,1.74,0.43,0.00,0.00,0.00,2
Leon Edwards,0.88,25,22,3,0 (1 NC),"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.75,0.53,2.34,0.54,1.25,0.34,0.70,0.4
Jarno Errens,0.7,20,14,5,1,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994",3.44,0.46,3.36,0.63,0.00,0.00,0.28,0.3
Scott Ettling,0.666666667,6,4,2,0,--,135 lbs.,--,,--,0,0.00,0.54,0.83,8.04,1.00,0.00,0
Ashlee Evans-Smith,0.5,12,6,6,0,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987",4.03,0.34,4.59,0.53,0.95,0.22,0.50,0
Johnny Eduardo,0.682926829,41,28,13,0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",2.95,0.39,3.22,0.63,0.22,0.20,0.58,0.4
Evan Elder,0.8,10,8,2,0,"5' 10""",155 lbs.,"72""",Switch,"Apr 11, 1997",4.75,0.48,5.00,0.57,0.74,0.22,0.28,0.4
Mark Eddiva,0.666666667,9,6,3,0,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",3.37,0.45,2.98,0.54,1.45,0.22,0.63,0
Roybert Echeverria,0.875,8,7,1,0,"5' 5""",125 lbs.,"67""",Switch,"Aug 21, 1995",2.95,0.53,2.52,0.57,0.00,0.00,0.71,2.6
Sijara Eubanks,0.533333333,15,8,7,0,"5' 4""",125 lbs.,"67""",Orthodox,"Apr 27, 1985",4.3,0.43,3.43,0.57,1.90,0.44,0.66,0.3
Sovannahry Em,0.75,4,3,1,0,"5' 4""",135 lbs.,--,,"Jun 26, 1992",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Marvin Eastman,0.529411765,34,18,15,1,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,0.35,3.92,0.42,1.38,0.33,0.81,0
Eddy Ellis,0.567567568,37,21,16,1 (1 NC),"5' 9""",170 lbs.,--,Orthodox,--,3.4,0.69,1.53,0.68,4.00,0.66,0.50,2
Te Edwards,0.666666667,9,6,3,0,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990",1.5,0.41,4.15,0.44,0.72,1.00,0.44,0
Konstantin Erokhin,0.75,12,9,3,0,"5' 11""",230 lbs.,--,Orthodox,"Jan 31, 1983",1.07,0.36,1.83,0.47,0.00,0.00,0.70,0
Efrain Escudero,0.7,40,28,12,0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,0.44,2.30,0.63,1.31,0.40,0.66,0.8
Evan Esguerra,0.533333333,15,8,7,0 (1 NC),--,145 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Doug Evans,0.565217391,23,13,10,0,"5' 9""",155 lbs.,--,Orthodox,"Oct 10, 1980",1.79,0.35,2.55,0.55,3.19,0.83,0.69,0.6
Carla Esparza,0.740740741,27,20,7,0,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",2.16,0.40,2.69,0.55,3.22,0.35,0.47,0.3
Chel Erwin-Davis,0.833333333,6,5,1,0,"6' 0""",170 lbs.,--,,--,4.06,0.54,1.13,0.61,4.25,1.00,0.50,1.4
Fred Ettish,0.5,2,1,1,0,"6' 0""",180 lbs.,--,Southpaw,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Brian Ebersole,0.739130435,69,51,18,1 (1 NC),"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",2.32,0.49,2.14,0.56,1.70,0.23,0.61,0.1
Jamall Emmers,0.714285714,28,20,8,0,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.3,0.48,4.05,0.57,1.83,0.40,0.90,0.2
Dan Evensen,0.733333333,15,11,4,0,"6' 3""",250 lbs.,--,Orthodox,"Jun 01, 1974",0.27,0.10,3.86,0.38,0.00,0.00,0.00,4
Cole Escovedo,0.653846154,26,17,9,0,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.77,0.43,4.32,0.49,0.43,0.33,0.13,0
Jessica Eye,0.576923077,26,15,11,0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.86,0.37,4.19,0.55,0.58,0.40,0.57,0.5
Jon Olav Einemo,0.666666667,9,6,3,0,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975",2.15,0.52,3.05,0.52,1.73,0.55,0.43,0
Ian Entwistle,0.75,12,9,3,0,"5' 5""",135 lbs.,--,Orthodox,"Nov 19, 1986",0.11,0.07,7.36,0.31,0.00,0.00,0.00,12.1
Fedor Emelianenko,0.87804878,41,36,5,0 (1 NC),"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,0.51,1.00,0.63,2.00,0.63,0.82,1.9
Maurice Eazel,0.318181818,22,7,15,0,"5' 7""",135 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Tom Egan,0.583333333,12,7,5,0,"5' 11""",170 lbs.,--,Orthodox,--,0,0.00,3.91,0.50,0.00,0.00,0.28,0
Joao Elias,0.80952381,21,17,4,1 (1 NC),"5' 3""",125 lbs.,"64""",Southpaw,"Jan 08, 1995",0.4,0.50,6.47,0.20,0.00,0.00,0.50,0
Josh Emmett,0.826086957,23,19,4,0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1
Mike Easton,0.684210526,19,13,6,0,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",3.51,0.37,4.28,0.61,0.75,0.22,0.66,0
Per Eklund,0.7,20,14,5,1,"5' 10""",155 lbs.,"72""",Orthodox,--,2.07,0.61,2.38,0.67,2.07,0.11,0.50,3.6
Abdul-Kerim Edilov,0.80952381,21,17,4,0,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991",10.22,0.61,0.13,0.92,3.98,1.00,0.00,2
Yves Edwards,0.65625,64,42,22,1 (1 NC),"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7
John Elam,1,2,2,0,0,--,--,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Ben Earwood,0.8,15,12,3,0,"5' 8""",170 lbs.,--,Orthodox,--,0.5,0.55,0.20,0.33,3.00,1.00,0.00,0
Justin Edwards,0.642857143,14,9,5,0,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",2.68,0.42,3.32,0.51,2.14,0.26,0.27,1
Anna Elmose,0.6,5,3,2,0,"5' 3""",115 lbs.,--,Orthodox,"Oct 06, 1984",3.68,0.49,4.64,0.56,0.00,0.00,0.33,0
Won Jin Eoh,0.454545455,11,5,5,1,"5' 7""",160 lbs.,--,Orthodox,--,3.74,0.44,3.58,0.46,0.00,0.00,0.50,0
Pro Escobedo,1,1,1,0,0,--,205 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Joe Ellenberger,0.882352941,17,15,2,0,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,0.47,3.45,0.48,3.17,0.40,0.00,1.1
Kenny Ento,0.482758621,29,14,15,0,"6' 2""",192 lbs.,--,,--,8.41,0.79,0.00,1.00,5.49,1.00,0.00,11
Billy Evangelista,0.8125,16,13,3,0 (1 NC),"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",4.51,0.40,3.96,0.61,1.60,0.19,0.61,0.2
Julian Erosa,0.707317073,41,29,12,0,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",6.14,0.48,6.29,0.47,1.63,0.46,0.58,0.8
John Paul Elias,0.75,4,3,1,0,"6' 4""",205 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Achilles Estremadura,0.875,8,7,1,0,"5' 10""",155 lbs.,"68""",Orthodox,"Mar 11, 1992",3.2,0.43,3.27,0.70,0.00,0.00,0.00,0
Ramazan Emeev,0.769230769,26,20,6,0,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.53,0.45,2.14,0.65,2.37,0.29,0.66,0.7
Adli Edwards,0.8,5,4,1,0,--,145 lbs.,--,,"Aug 28, 1989",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Scott Fiedler,0,1,0,1,0,"6' 4""",235 lbs.,--,Orthodox,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Raheam Forest,0.777777778,9,7,2,0,"5' 11""",170 lbs.,"73""",Switch,"Jul 11, 1997",5.32,0.38,12.15,0.42,0.00,0.00,0.00,0
Patricky Freire,0.68,25,17,8,0,"5' 7""",155 lbs.,"71""",,"Jun 01, 1986",3.06,0.44,3.34,0.69,1.26,0.33,1.00,0
Pedro Falcao,0.8,20,16,4,0,"5' 6""",135 lbs.,"66""",Orthodox,"Jul 30, 1992",2.9,0.48,2.63,0.48,2.07,0.22,0.83,0
Maiquel Falcao,0.787234043,47,37,10,0 (1 NC),"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981",1.67,0.55,0.53,0.86,1.00,1.00,0.71,3
Jimmy Flick,0.708333333,24,17,7,0,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.7,0.50,5.20,0.40,1.79,0.26,0.00,5.4
Luiz Firmino,0.703703704,27,19,8,0,"5' 6""",154 lbs.,--,Orthodox,"Mar 18, 1982",1.23,0.50,1.22,0.51,3.86,0.45,0.20,0.9
Michal Figlak,0.888888889,9,8,1,0,"5' 10""",155 lbs.,"70""",Orthodox,"Aug 15, 1996",1.87,0.29,4.00,0.44,1.00,0.20,0.57,0
Torrez Finney,1,7,7,0,0,"5' 8""",185 lbs.,"75""",Orthodox,"Oct 24, 1998",0.91,0.58,2.33,0.47,13.61,0.63,0.00,3.9
Rico Farrington,0.7,10,7,3,0,"6' 4""",170 lbs.,"79""",Southpaw,"Jun 19, 1989",6.33,0.41,7.20,0.51,0.00,0.00,0.20,0
Wagnney Fabiano,0.8,20,16,4,0,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975",1.19,0.38,0.66,0.70,3.44,0.64,1.00,0.4
CJ Fernandes,0.56,25,14,8,3,"6' 2""",170 lbs.,--,,"Nov 13, 1977",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Jafel Filho,0.842105263,19,16,3,0,"5' 7""",125 lbs.,"68""",Orthodox,"May 05, 1993",2.36,0.41,2.00,0.47,1.77,0.33,0.55,2.6
Kalindra Faria,0.666666667,27,18,8,1,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986",2.23,0.56,1.44,0.45,1.31,0.66,0.20,0.7
Matt Foki,0.555555556,9,5,4,0 (1 NC),"5' 7""",220 lbs.,--,Orthodox,--,0,0.00,3.37,0.56,0.00,0.00,0.00,0
Clay French,0.730769231,26,19,7,0,"5' 7""",161 lbs.,--,Southpaw,"Oct 07, 1980",1.52,0.50,1.27,0.16,0.00,0.00,1.00,0
Sarah Frota,0.818181818,11,9,2,0,"5' 6""",125 lbs.,"69""",Southpaw,"Apr 14, 1987",4.52,0.52,2.57,0.55,0.00,0.00,0.53,0
Erisson Ferreira,0.857142857,14,12,2,0,"5' 6""",125 lbs.,"70""",Orthodox,"May 03, 1991",1.75,0.32,2.75,0.56,1.11,1.00,0.66,1.7
Zarah Fairn,0.5,12,6,6,0,"5' 8""",135 lbs.,"72""",Orthodox,"Dec 10, 1983",4.55,0.31,7.40,0.45,0.00,0.00,0.60,0
